species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Borage,Borago officinalis,Borage,Plantae,52287
fennel,Foeniculum vulgare,fennel,Plantae,53052
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Golden chinquapin,Chrysolepis chrysophylla,Golden chinquapin,Plantae,53363
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
redwood sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
slender stinging nettle,Urtica gracilis,slender stinging nettle,Plantae,141854
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
Armenian Blackberry,Rubus armeniacus,Armenian Blackberry,Plantae,61317
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
lemon balm,Melissa officinalis,lemon balm,Plantae,59901
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
California bay,Umbellularia californica,California bay,Plantae,48807
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
coast oak,Quercus parvula,coast oak,Plantae,78808
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Artichoke Thistle,Cynara cardunculus,Artichoke Thistle,Plantae,57563
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
California bay,Umbellularia californica,California bay,Plantae,48807
silverleaf cotoneaster,Cotoneaster pannosus,silverleaf cotoneaster,Plantae,53375
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
California bay,Umbellularia californica,California bay,Plantae,48807
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
California Polypody,Polypodium californicum,California Polypody,Plantae,57216
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
licorice fern,Polypodium glycyrrhiza,licorice fern,Plantae,55104
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
Spreading Rush,Juncus patens,Spreading Rush,Plantae,52798
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Red-flowering Currant,Ribes sanguineum,Red-flowering Currant,Plantae,53435
Cootamundra wattle,Acacia baileyana,Cootamundra wattle,Plantae,55345
Белоцветник летний,Leucojum aestivum,Summer snowflake,Plantae,55809
Cootamundra wattle,Acacia baileyana,Cootamundra wattle,Plantae,55345
poison hemlock,Conium maculatum,poison hemlock,Plantae,52998
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
Yerba Buena,Clinopodium douglasii,yerba buena,Plantae,53203
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
California Bay,Umbellularia californica,California bay,Plantae,48807
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
stork's-bills,Erodium,stork's-bills,Plantae,47688
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
white horehound,Marrubium vulgare,White Horehound,Plantae,54605
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
Белоцветник летний,Leucojum aestivum,Summer snowflake,Plantae,55809
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
Summer snowflake,Leucojum aestivum,Summer snowflake,Plantae,55809
slough sedge,Carex obnupta,slough sedge,Plantae,61000
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Santa Cruz Manzanita,Arctostaphylos andersonii,Santa Cruz Manzanita,Plantae,71123
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Pacific Madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Common Cat's-ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
foothill sedge,Carex tumulicola,foothill sedge,Plantae,64183
Spreading Rush,Juncus patens,Spreading Rush,Plantae,52798
Western Heart's Ease,Viola ocellata,western heart's ease,Plantae,61782
giant chain fern,Woodwardia fimbriata,giant chain fern,Plantae,52685
lady fern,Athyrium filix-femina,lady fern,Plantae,52669
California Bay,Umbellularia californica,California bay,Plantae,48807
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
Western Heart's Ease,Viola ocellata,western heart's ease,Plantae,61782
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Orchard Grass,Dactylis glomerata,orchard grass,Plantae,52720
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
California bay,Umbellularia californica,California bay,Plantae,48807
Fumaria bianca,Fumaria capreolata,white ramping-fumitory,Plantae,57852
California bay,Umbellularia californica,California bay,Plantae,48807
lady fern,Athyrium filix-femina,lady fern,Plantae,52669
coffeeberry,Frangula californica,coffeeberry,Plantae,53423
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
chamise,Adenostoma fasciculatum,chamise,Plantae,47146
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Smooth Cat's Ear,Hypochaeris glabra,Smooth Cat's Ear,Plantae,53103
French broom,Genista monspessulana,French broom,Plantae,53403
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Coyote Brush,Baccharis pilularis,coyote brush,Plantae,53359
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Wartleaf Ceanothus,Ceanothus papillosus,Wartleaf Ceanothus,Plantae,64281
California yerba santa,Eriodictyon californicum,California yerba santa,Plantae,57095
California yerba santa,Eriodictyon californicum,California yerba santa,Plantae,57095
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
orchard grass,Dactylis glomerata,orchard grass,Plantae,52720
Spreading Rush,Juncus patens,Spreading Rush,Plantae,52798
chamise,Adenostoma fasciculatum,chamise,Plantae,47146
Wartleaf Ceanothus,Ceanothus papillosus,Wartleaf Ceanothus,Plantae,64281
orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
California bay,Umbellularia californica,California bay,Plantae,48807
Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
greenspot nightshade,Solanum douglasii,greenspot nightshade,Plantae,64105
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
eggleaf spurge,Euphorbia oblongata,eggleaf spurge,Plantae,77117
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
creeping snowberry,Symphoricarpos mollis,creeping snowberry,Plantae,53456
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
giant chain fern,Woodwardia fimbriata,giant chain fern,Plantae,52685
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
calla lily,Zantedeschia aethiopica,calla lily,Plantae,56006
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
California bay,Umbellularia californica,California bay,Plantae,48807
Spreading Rush,Juncus patens,Spreading Rush,Plantae,52798
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
field marigold,Calendula arvensis,field marigold,Plantae,59260
Harding Grass,Phalaris aquatica,harding grass,Plantae,57188
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
blue elder,Sambucus cerulea,blue elder,Plantae,143799
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Quercus parvula shrevei,Quercus parvula shrevei,Shreve oak,Plantae,81314
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
European holly,Ilex aquifolium,European holly,Plantae,53856
Spreading Rush,Juncus patens,Spreading Rush,Plantae,52798
fragrant bedstraw,Galium triflorum,fragrant bedstraw,Plantae,53065
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
beaked hazelnut,Corylus cornuta,beaked hazelnut,Plantae,53374
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Notholithocarpus densiflorus densiflorus,Notholithocarpus densiflorus densiflorus,,Plantae,81153
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
tall flatsedge,Cyperus eragrostis,tall flatsedge,Plantae,59055
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
California bay,Umbellularia californica,California bay,Plantae,48807
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
fragrant bedstraw,Galium triflorum,fragrant bedstraw,Plantae,53065
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Baldhip Rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
California bay,Umbellularia californica,California bay,Plantae,48807
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
field marigold,Calendula arvensis,field marigold,Plantae,59260
California bay,Umbellularia californica,California bay,Plantae,48807
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
fragrant bedstraw,Galium triflorum,fragrant bedstraw,Plantae,53065
milkmaids,Cardamine californica,milkmaids,Plantae,49651
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Broad-leafed Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
herb Robert,Geranium robertianum,Herb Robert,Plantae,55925
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
California Golden Violet,Viola pedunculata,California Golden Violet,Plantae,50825
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
checker lily,Fritillaria affinis,checker lily,Plantae,50618
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
California bay,Umbellularia californica,California bay,Plantae,48807
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Hairy brackenfern,Pteridium aquilinum pubescens,Hairy brackenfern,Plantae,52684
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
milkmaids,Cardamine californica,milkmaids,Plantae,49651
purple foxglove,Digitalis purpurea,purple foxglove,Plantae,53983
Pale pink-sorrel,Oxalis incarnata,Pale pink-sorrel,Plantae,61776
great horsetail,Equisetum telmateia,great horsetail,Plantae,57030
California bay,Umbellularia californica,California bay,Plantae,48807
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
bird's-eye speedwell,Veronica persica,bird's-eye speedwell,Plantae,55666
white horehound,Marrubium vulgare,White Horehound,Plantae,54605
scarlet pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
wild and domestic radishes,Raphanus raphanistrum sativus,garden radish,Plantae,995125
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Wedding Treasureflower,Gazania linearis,Wedding Treasureflower,Plantae,56951
common stork's-bill,Erodium cicutarium,Redstem Stork's-bill,Plantae,47687
common daisy,Bellis perennis,Lawn daisy,Plantae,55563
giant chain fern,Woodwardia fimbriata,giant chain fern,Plantae,52685
common yarrow,Achillea millefolium,common yarrow,Plantae,52821
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
common dandelion,Taraxacum officinale,common dandelion,Plantae,47602
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
Greater Quaking Grass,Briza maxima,Greater Quaking Grass,Plantae,57157
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
California bay,Umbellularia californica,California bay,Plantae,48807
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Hairy brackenfern,Pteridium aquilinum pubescens,Hairy brackenfern,Plantae,52684
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
California bay,Umbellularia californica,California bay,Plantae,48807
California poppy,Eschscholzia californica,California poppy,Plantae,48225
wild and domestic radishes,Raphanus raphanistrum sativus,garden radish,Plantae,995125
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
California poppy,Eschscholzia californica,California poppy,Plantae,48225
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
California bay,Umbellularia californica,California bay,Plantae,48807
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
milkmaids,Cardamine californica,milkmaids,Plantae,49651
French broom,Genista monspessulana,French broom,Plantae,53403
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Solomon's plume,Maianthemum racemosum amplexicaule,western Solomon's plume,Plantae,53012
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
coast oak,Quercus parvula,coast oak,Plantae,78808
California bay,Umbellularia californica,California bay,Plantae,48807
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Garden Treasure Flower,Gazania × splendens,Garden Treasure Flower,Plantae,884852
Spitz-Wegerich,Plantago lanceolata,ribwort plantain,Plantae,53178
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Adelinia grandis,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
California yerba santa,Eriodictyon californicum,California yerba santa,Plantae,57095
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Очный цвет полевой,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
French broom,Genista monspessulana,French broom,Plantae,53403
Кислица рожковая,Oxalis corniculata,Creeping Woodsorrel,Plantae,53168
Очный цвет полевой,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
stork's-bills,Erodium,stork's-bills,Plantae,47688
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Hairy brackenfern,Pteridium aquilinum pubescens,Hairy brackenfern,Plantae,52684
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
milkmaids,Cardamine californica,milkmaids,Plantae,49651
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
California bay,Umbellularia californica,California bay,Plantae,48807
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Oxalis smalliana,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
milkmaids,Cardamine californica,milkmaids,Plantae,49651
California bay,Umbellularia californica,California bay,Plantae,48807
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
dwarf orthocarpus,Triphysaria pusilla,dwarf owl's-clover,Plantae,57276
Redstem Stork's-bill,Erodium cicutarium,Redstem Stork's-bill,Plantae,47687
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Mediterranean spurge,Euphorbia characias,Mediterranean spurge,Plantae,181594
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Hairy brackenfern,Pteridium aquilinum pubescens,Hairy brackenfern,Plantae,52684
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
milkmaids,Cardamine californica,milkmaids,Plantae,49651
checker lily,Fritillaria affinis,checker lily,Plantae,50618
